Feature,MeanSHAP
gamma-Glutamylleucine,-0.0014960367413302403
0.71_498.15,0.0014950536177161043
5.71_782.57,0.0014923796589708773
DG 36:2|DG 18:1_18:1,-0.0014919872799764
Cysteinesulfinic acid,0.0014893617021276586
TG 54:7|TG 18:2_18:2_18:3,-0.0014849486153024392
9.56_999.74,0.0014812821304768943
11.26_930.85,0.001480208413599048
9.30_963.82,0.0014799600917941285
5.61_758.61,0.0014765043209007218
10.18_782.72,-0.001475169657283302
2.775_175.0412,-0.0014682939246744389
9.98_998.82,-0.0014666275556090775
4.423_204.8799,-0.0014654894878834536
12.13_1075.04,-0.0014646341883995718
10.34_1270.22,-0.0014635144403757267
9.55_974.73,-0.001460410217152522
0.44_132.87,-0.0014597217805263202
2.11_732.37,0.0014573823892571759
1.80_131.08,-0.0014562514234683279
10.25_969.73,-0.0014558666268420187
7.21_802.67,-0.0014543385785990924
Acetaminophen sulfate,-0.0014522604108478997
PC 32:1|PC 16:0_16:1,0.0014471845427855526
TG 60:10|TG 18:0_20:4_22:6,0.0014470079369246199
0.953_149.0598,-0.0014457651177125234
2.48_377.24,0.00144365732462769
7.89_665.49,0.0014389163262452077
5.897_116.1069,0.0014378155616744984
10.41_308.21,-0.001436743415380086
5.12_794.60,-0.0014359862773257466
10.41_666.93,0.0014354470958610386
7.50_815.70,0.0014353406904345565
9.265_510.8594,-0.0014351622787692239
4.80_125.00,0.0014338902961019942
caprylic acid,-0.0014322935406945714
5.702_350.1115,0.0014316743313306619
7.254_96.9218,-0.0014269699364382808
10.30_962.82,-0.0014239441060100104
9.50_1005.87,-0.0014236655749343351
3.346_281.0991,0.0014226039334625813
8.203_473.1501,-0.0014197566579998708
2.38_676.45,0.0014186793733124213
5.71_776.62,-0.001417840825648739
DG 40:8,0.0014142010521066976
9.07_587.44,0.0014117454819032702
10.34_1332.16,-0.0014112714304112448
9.42_912.71,-0.001409097662355805
0.979_190.9812,-0.0014087433510638282
6.328_201.0343,0.0014084778998988004
PC 37:5|PC 17:0_20:5,0.0014064214636875269
10.48_822.75,0.0014035987314321913
10.48_671.57,-0.0014023409742947065
