Feature,MeanSHAP
1.727_241.1083,-0.0019274341790851053
6.38_631.47,0.0019212729397432282
10.03_908.77,0.0019147617145773845
5.02_845.67,0.0019093994605451506
9.91_165.1312,0.0019079937425239442
Histidine,0.0018943933597541597
0.51_473.24,0.0018925435795087576
6.75_838.63,-0.0018834922589821739
11.15_980.86,-0.0018814120504246888
6.40_831.70,-0.0018799858332804943
11.23_873.73,-0.0018751330378245891
fucose,0.0018750123580129352
TG 52:8|TG 18:2_18:2_16:4,0.0018746972342333144
1.398_279.9959,-0.0018738669736814682
TG 53:4|TG 17:0_18:2_18:2,-0.0018722788252164672
1.213_295.1915,0.0018712641993630145
10.42_1320.16,0.001849452977414213
5.08_748.58,0.0018478370690263068
6.15_827.64,0.0018449159718369403
10.52_902.81,-0.0018415963004620327
2.63_700.45,0.001841342285843192
10.06_930.85,-0.0018382068029710742
11.27_952.78,-0.0018313264162996567
4.82_763.51,-0.0018302588202287373
11.50_984.93,0.0018224262166407635
10.35_1008.90,-0.0018187602091429987
4.52_821.55,-0.0018141398512932752
9.581_116.0707,-0.0018126886223026996
10.56_577.52,-0.0018109597040026134
7.95_668.66,0.0018100880323856437
0.36_305.10,0.0018065960219220958
10.42_147.12,-0.001793324638250382
10.50_876.79,-0.00179262499666538
6.84_814.69,0.0017918499830283153
8.90_994.77,-0.0017853713022385016
Sucrose,0.0017842634675042028
11.08_1005.87,-0.001780483449974295
TG 66:18|TG 22:6_22:6_22:6,-0.0017790652566225399
4.78_828.58,-0.00177058811054142
7.70_829.72,-0.0017669270308345462
4.09_709.50,-0.001763595411070066
11.48_950.91,0.0017611271019786986
0.48_146.93,0.0017598852019848183
10.48_977.83,-0.0017587143503847882
11.50_998.95,-0.0017404048983635937
2.889_184.0967,-0.0017399962726864363
11.06_974.91,0.0017398134929463977
2.79_573.90,-0.0017304842029760487
10.00_964.83,-0.0017296043819736366
0.37_269.01,-0.0017260859278029758
11.52_982.88,-0.0017252594734034296
TG 54:5|TG 18:1_18:2_18:2,-0.001722752016236293
0.48_231.02,0.0017210770153843944
7.30_662.61,-0.0017208239022181984
2.81_307.26,0.0017186774936319114
3.316_147.0653,-0.0017124552799587427
10.83_939.71,0.001711190047663942
TG O-52:2|TG O-18:0_16:0_18:2,0.0017060881743500027
8.977_297.9898,0.0017042855455829558
5.831_121.0284,-0.0017033208000854115
11.24_605.55,0.0017029009387464602
TG 64:14|TG 18:2_22:6_24:6,-0.001701897355939447
9.99_930.75,0.0017014989291822603
0.67_369.19,-0.0016952161975290765
8.022_288.0762,-0.0016926948220325844
PE 36:2|PE 18:0_18:2,-0.0016918647679885798
DG 40:7|DG 18:1_22:6,0.0016904475421155472
N-Acetyllysine,0.0016891728550633678
O1_PC p-36:4; or PC o-36:5,-0.0016860100552834837
7.47_859.25,0.0016844705822766308
8.47_709.55,0.0016832118392160456
10.48_822.75,0.001680539674136481
4.277_142.05,0.0016743363865923736
10.67_1007.80,0.0016719520696188068
10.50_958.88,0.0016682394689514447
11.59_912.81,-0.001667804159506271
9.57_1015.71,0.0016662712202156627
4.95_369.35,-0.0016651209005591932
5.75_848.58,0.0016632443785004223
2.466_146.06,-0.0016577344575222574
8.57_817.61,0.0016533376074414437
5.83_857.65,0.0016502618432239304
1.54_214.87,0.0016494927162395482
9.50_970.78,0.0016447382956009673
4.65_786.58,-0.0016423657389195306
9.42_1003.85,0.0016422908235791268
9.82_128.06,0.001640672246093519
6.671_236.9297,-0.0016404075733339905
10.46_1348.26,0.0016366995485442156
5.96_778.57,0.001636492185927578
1.237_265.1447,0.0016293484684760154
1.82_229.0692,-0.001627414116117906
10.65_674.59,-0.001627366280910626
6.24_814.63,-0.0016266148409502172
10.88_257.23,0.001623197238055746
9.36_961.81,-0.0016226289979133315
2.26_697.46,0.0016187578930916035
